project,revenue_month,work_order,revenue,deductible,invoiced,invoice_date,invoice_no,due_date,collected,collected_date,days,penalties,net_revenue
STC COW,10/1/2023,1708333.335,1686290.06,0,1686290.06,2/11/2024,IN-024375,,1686290.06,9/16/2024,218,215470.39,1470819.67
STC COW,10/1/2023,0,187365.5624,0,187365.5624,7/25/2024,IN-024841,,187365.5624,9/16/2024,53,0,187365.5624
STC COW,11/1/2023,3416666.67,3074999.27,0,3074999.27,2/11/2024,IN-024376,,3074999.27,6/11/2024,121,392916.57,2682082.7
STC COW,11/1/2023,0,341666.5902,0,341666.5902,7/25/2024,IN-024842,,341666.5902,9/16/2024,53,0,341666.5902
STC COW,12/1/2023,3416666.67,2959365.832,457300.0281,2959365.832,7/25/2024,IN-024836,,2959365.832,9/16/2024,53,392916.58,2566449.252
STC COW,1/1/2024,3416666.67,3155366.67,261300,3155366.67,7/25/2024,IN-024837,,3155366.67,9/16/2024,53,315536.59,2839830.08
STC COW,2/1/2024,3416666.67,3123666.67,293000,3123666.67,7/25/2024,IN-024840,,3123666.67,9/16/2024,53,312366.6,2811300.07
STC COW,3/1/2024,3416666.67,3074999.27,0,3074999.27,7/25/2024,IN-024838,,3074999.274,9/16/2024,53,341666.59,2733332.68
STC COW,3/1/2024,0,341666.59,0,341666.59,1/16/2025,IN-025257,,341666.59,1/30/2025,14,0,341666.59
STC COW,4/1/2024,3416666.67,2958870.6,0,2958870.6,7/25/2024,IN024839,,2958870.604,9/16/2024,53,328763.32,2630107.28
STC COW,4/1/2024,0,328763.4,0,328763.4,12/31/2024,IN-025239,,328763.4,1/30/2025,30,0,328763.4
STC COW,5/1/2024,3416666.67,3287633.91,0,3287633.91,1/20/2025,IN-025264,,2958870.51,1/30/2025,10,328763.319,2958870.591
STC COW,6/1/2024,3416666.67,3287634,0,3287634,12/31/2024,IN-025234,,2958870.604,1/30/2025,30,328763.319,2958870.681
STC COW,7/1/2024,3416666.67,3287634,0,3287634,12/31/2024,IN-025235,,2958870.6,1/30/2025,30,328763.319,2958870.681
STC COW,8/1/2024,3416666.67,3287634,0,3287634,12/31/2024,IN-025236,,2958870.6,2/6/2025,37,328763.319,2958870.681
STC COW,9/1/2024,3416666.67,2670633.99,616999.2,2670633.99,12/31/2024,IN-025237,,2497705.165,1/30/2025,30,172928.82,2497705.17
STC COW,10/1/2024,3416666.67,4169856.98,21004.88,4169856.98,1/16/2025,IN-025258,,4149856.983,1/30/2025,14,20000,4149856.98
STC COW,11/1/2024,3416666.67,3074999.27,9000.85,3074999.27,1/16/2025,IN-025259,,3074999.27,1/30/2025,14,144500,2930499.27
STC COW,11/1/2024,0,332666.55,0,332666.55,5/22/2025,IN-025439,,332666.55,7/25/2025,64,0,332666.55
STC COW,12/1/2024,3416666.67,3074999.27,32999.98,3074999.27,1/16/2025,IN-025260,,3074999.27,1/30/2025,14,28000,3046999.27
STC COW,12/1/2024,0,308666.6,0,308666.6,5/22/2025,IN-025440,,308666.6,7/25/2025,64,0,308666.6
STC COW,1/1/2025,3416666.67,3398665.86,17999.9,3398665.86,5/22/2025,IN-025446,,3398665.86,7/25/2025,64,310000,3088665.86
STC COW,2/1/2025,3416666.67,3386665.86,30000,3386665.86,5/25/2025,IN-025447,,3386665.86,7/25/2025,61,71000,3315665.86
STC COW,3/1/2025,3416666.67,3389665.86,27000,3389665.86,5/26/2025,IN-025449,,3389665.86,7/25/2025,60,89000,3300665.86
STC COW,4/1/2025,3416666.67,3074999.27,36000,3074999.27,5/26/2025,IN-025450,,3074999.27,7/25/2025,60,67000,3007999.27
STC COW,4/1/2025,0,305666.56,0,305666.56,6/24/2025,IN-025512,,305666.56,8/19/2025,56,0,305666.56
STC COW,5/1/2025,3416666.67,3074999.27,36000,3074999.27,5/26/2025,IN-025451,,3074999.27,7/25/2025,60,87000,2987999.27
STC COW,5/1/2025,0,305666.56,0,305666.56,7/22/2025,IN-025569,,305666.56,9/28/2025,68,0,305666.56
STC COW,6/1/2025,3416666.67,3074999.27,21000.82,3074999.27,6/25/2025,IN-025516,,3074999.27,9/3/2025,70,36000,3038999.27
STC COW,6/1/2025,0,320666.58,0,320666.58,8/13/2025,IN-025629,,320666.58,10/21/2025,69,0,320666.58
STC COW,7/1/2025,3416666.67,2874999.27,27000.81,3074999.27,7/24/2025,IN-025573,,3074999.27,10/2/2025,70,0,3074999.27
STC COW,7/1/2025,0,314666.59,0,314666.59,9/29/2025,IN-025924,,314666.59,12/22/2025,84,0,314666.59
STC COW,8/1/2025,3416666.67,2874999.27,27000.81,3074999.27,8/13/2025,IN-025630,,3074999.27,10/21/2025,69,6000,3068999.27
STC COW,8/1/2025,0,314665.857,0,314666.59,11/30/2025,IN-026273,,314666.59,2/10/2026,72,0,314666.59
STC COW,9/1/2025,3416666.67,2874999.27,0,3074999.27,9/30/2025,IN-025925,,3074999.27,3/2/2026,153,67000,3007999.27
