project_name,revenue_month,work_order,revenue,deductible,invoiced,invoice_date,invoice_no,due_date,collected,collected_date,days,penalties,net_revenue
ACES - NHP MS Project  O&M 2025,2025-01,3836650.5300,245207.9500,0.0000,245207.9500,2025-12-31,,,0.0000,,,0.0000,245207.9500
ACES - NHP MS Project  O&M 2025,2025-02,0.0000,250199.3300,0.0000,250199.3300,2025-12-31,,,0.0000,,,0.0000,250199.3300
ACES - NHP MS Project  O&M 2025,2025-03,0.0000,278625.4400,0.0000,278625.4400,2025-12-31,,,0.0000,,,0.0000,278625.4400
ACES - NHP MS Project  O&M 2025,2025-04,0.0000,285471.5300,0.0000,285471.5300,2025-12-31,,,0.0000,,,0.0000,285471.5300
ACES - NHP MS Project  O&M 2025,2025-05,0.0000,298067.3800,0.0000,298067.3800,2025-12-31,,,0.0000,,,0.0000,298067.3800
ACES - NHP MS Project  O&M 2025,2025-06,0.0000,304975.0700,0.0000,304975.0700,2025-12-31,,,0.0000,,,0.0000,304975.0700
ACES - NHP MS Project  O&M 2025,2025-07,0.0000,340531.6500,0.0000,340531.6500,2025-12-31,,,0.0000,,,0.0000,340531.6500
ACES - NHP MS Project  O&M 2025,2025-08,0.0000,348678.1300,0.0000,348678.1300,2025-12-31,,,0.0000,,,0.0000,348678.1300
ACES - NHP MS Project  O&M 2025,2025-09,0.0000,350698.9600,0.0000,350698.9600,2025-12-31,,,0.0000,,,0.0000,350698.9600
ACES - NHP MS Project  O&M 2025,2025-10,0.0000,350698.9600,0.0000,350698.9600,2025-12-31,,,0.0000,,,0.0000,350698.9600
ACES - NHP MS Project  O&M 2025,2025-11,0.0000,350698.9600,0.0000,350698.9600,2025-12-31,,,0.0000,,,0.0000,350698.9600
ACES - NHP MS Project  O&M 2025,2025-12,0.0000,432797.1700,0.0000,432797.1700,2025-12-31,,,0.0000,,,0.0000,432797.1700
ACES - NHP MS Project  O&M 2026,2026-01,0.0000,0.0000,0.0000,0.0000,,,,0.0000,,,0.0000,0.0000
Diesel Compensation 2024,2024-01,0.0000,0.0000,0.0000,7315200.0000,,IN-024366,,7315200.0000,2024-04-16,,0.0000,7315200.0000
Diesel Compensation 2024,2024-01,0.0000,0.0000,0.0000,14196900.0000,,IN-024383,2024-09-01,0.0000,,,0.0000,0.0000
Diesel Compensation 2025,2025-01,0.0000,0.0000,0.0000,7920000.0000,2025-03-05,IN-025364,,7920000.0000,2025-05-07,63,0.0000,7920000.0000
Diesel Compensation 2026,2026-01,0.0000,0.0000,0.0000,0.0000,,,,0.0000,,,0.0000,0.0000
STC COW,2023-10,1708333.3350,1686290.0600,0.0000,1686290.0600,2024-02-11,IN-024375,,1686290.0600,2024-09-16,218,215470.3900,1470819.6700
STC COW,2023-10,0.0000,187365.5624,0.0000,187365.5624,2024-07-25,IN-024841,,187365.5624,2024-09-16,53,0.0000,187365.5624
STC COW,2023-11,0.0000,341666.5902,0.0000,341666.5902,2024-07-25,IN-024842,,341666.5902,2024-09-16,53,0.0000,341666.5902
STC COW,2023-11,3416666.6700,3074999.2700,0.0000,3074999.2700,2024-02-11,IN-024376,,3074999.2700,2024-06-11,121,392916.5700,2682082.7000
STC COW,2023-12,3416666.6700,2959365.8320,457300.0281,2959365.8320,2024-07-25,IN-024836,,2959365.8320,2024-09-16,53,392916.5800,2566449.2520
STC COW,2024-01,3416666.6700,3155366.6700,261300.0000,3155366.6700,2024-07-25,IN-024837,,3155366.6700,2024-09-16,53,315536.5900,2839830.0800
STC COW,2024-02,3416666.6700,3123666.6700,293000.0000,3123666.6700,2024-07-25,IN-024840,,3123666.6700,2024-09-16,53,312366.6000,2811300.0700
STC COW,2024-03,3416666.6700,3074999.2700,0.0000,3074999.2700,2024-07-25,IN-024838,,3074999.2741,2024-09-16,53,341666.5900,2733332.6800
